SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
176,2020,08_Gwangju,C041,3218,3094,0,0,0,986,43844,6156,340,33514920,161,613,6,49.5,20682.9,40.23,38.68,1511,77,1588,1,10000000,30000000,40000000,25188.917,40000000,52.63,54.42,0.059,0.155,78.2,80.9,154.3,159.5,4381105000,16,3477505000,6,903600000,10,275135715,4578687798,9378848.4,30171755379,8150788913,8103088913,1647423100,0,9798212013,3174024,1687,2089,3776,3.34,1085,720,162,0,19,3,3,0,19388720,86
177,2020,08_Gwangju,C042,4225,5221,299,92,76,1541,57388,9899,788,72015120,289,788,18,19.2,21640.5,30.62,37.83,972,137,1109,2,3600000,0,3600000,3246.168,56378630,67.65,54.98,0.022,0.12,133.3,128.4,130.7,125.9,6935070000,12,6420370000,8,514700000,4,50511400,7024136948,9448391.7,48394662109,12488612159,12465136159,3092482595,0,15581094754,3114973,2870.7,3617.4,6488.1,3.31,2051,1308,216,8,21,0,7,0,4759000,93.4
178,2020,08_Gwangju,C044,556,771,0,0,0,149,11293,2567,60,5600000,0,183,1,41.3,21878.8,22.24,30.84,561,104,665,2,0,7000000,7000000,10526.316,7000000,89.29,64.1,0.011,0.564,396,285.5,116.3,83.9,961000000,2,961000000,2,0,0,11780000,90344407,8865974.3,6817934237,1473902490,1466902490,450018560,0,1923921050,2518221.3,476,253,729,3.36,183,170,1,0,0,0,0,0,5521930,100.5
179,2020,08_Gwangju,C045,2984,3321,200,61,76,1438,44388,7060,380,95712930,134,623,3,33.3,21912.2,30.14,33.55,620,329,949,1,5391260,25823618,31214878,32892.39,30841278,66.89,60.37,0.054,0.391,232,227.9,147.9,145.3,5497348950,16,5382348950,13,115000000,3,190095887,5545083164,9302070.2,31431695258,7672282668,7638643080,2727124990,0,10399407658,3179274.7,2558.6,2427.5,4986.1,3.5,1483,786,192,39,16,3,0,0,1651130,95.3
180,2020,09_Kyunggi,C046,3456,4125,42,14,54,1938,45227,15233,885,109868065,117,67,2,33.4,30566.5,30.05,35.87,2108,139,2247,1,42300000,61852900,104152900,46351.98,104152900,67.65,56.93,0.06,0.069,87.1,84.5,117.1,113.6,7296579353,39,5828820550,20,1467758803,19,1100786238,8247744557,10987583.8,46905995290,9975735940,9771253340,3896570133,0,13872306073,3330685.7,3332,3487,6819,3.33,1540,1152,184,1,20,15,2,0,9800450,93.9
181,2020,09_Kyunggi,C047,3663,4432,182,51,86,2037,51977,12408,949,54311500,167,1376,2,35.8,37511.5,29.78,36.03,1339,185,1524,2,1730170,22872370,24602540,16143.399,24602540,71.51,59.71,0.044,0.227,131.7,123.8,154.7,145.5,6114358000,15,5118297580,7,996060420,8,470067945,3873887598,11567106.8,50154975115,12373267000,12153495210,4288055170,0,16661322170,3921233.7,3565.2,3097.8,6663,3.39,1759,1146,278,24,15,2,2,0,10020000,95.6
182,2020,09_Kyunggi,C048,5093,6455,450,152,56,2237,69463,12116,1409,48210918,785,348,5,16.4,21650.7,29.44,37.31,1474,275,1749,2,8177455,109268930,117446385,67150.592,117169785,71.78,56.54,0.072,0.135,270.6,237.2,203.9,178.7,7508021000,17,7360977000,9,147044000,8,257557939,13545047511,12165900.8,79869138944,19361498729,19228346169,6611222263,0,25972720992,4045595.2,4481.4,3352.7,7834.1,3.54,2409,1593,295,73,11,1,0,0,0,100.2
183,2020,09_Kyunggi,C049,2514,3009,0,0,0,809,28785,6371,628,24793699,187,85,2,43.3,48483.4,29.93,35.82,1253,391,1644,2,15000000,117450000,132450000,80565.693,129000000,66.67,55.63,0.024,0.1,134.3,114.9,145.5,124.4,4354950000,17,4175450000,11,179500000,6,916298315,1987945356,10568105.8,30562961885,6674264980,6435178900,3368294190,0,10042559170,3543598.9,1729,2401,4130,3.3,1170,518,163,2,22,4,0,0,3286670,104
184,2020,09_Kyunggi,C050,3806,3857,400,0,7,1654,41257,11282,702,44700000,154,2,1,31.6,20562.8,36.6,37.09,1514,86,1600,0,0,0,0,0,6158640,57.78,57.78,0.093,0.05,166.4,177.5,137.8,147,2578262090,27,1331375500,8,1246886590,19,729995085,2074400117,9412417.1,36604890197,9100151220,9011625140,3496680430,0,12596831650,3342221.2,2597,2902,5499,3.41,1656,1017,221,53,26,3,0,0,0,94.8
185,2020,09_Kyunggi,C051,2997,3264,80,51,86,1019,38150,7093,439,21245266,369,160,3,32.9,28907.3,34.45,37.52,1134,198,1332,2,12037250,4950000,16987250,12753.191,12037250,63.04,58,0.004,0.25,326,316.2,131.6,127.6,1944772060,17,1061935390,10,882836670,7,481583507,2059345058,9046181.5,32385329824,8381599660,7918629570,3089749800,0,11471349460,3338576.7,1980,2440,4420,3.2,1352,679,198,32,9,13,0,0,20232180,90
186,2020,09_Kyunggi,C052,176,444,0,0,0,177,4243,1419,235,3550000,197,112,4,95.8,60794.1,14.67,37,448,249,697,2,1273275,23909650,25182925,36130.452,25182925,150,66.67,0.176,0.246,3064.7,9045.5,511.7,460.9,1250800000,2,1250800000,2,0,0,1784392603,3778447938,26494065,10756590404,565729720,521406800,302134840,0,867864560,2164250.8,388,179,567,3.4,140,178,0,0,0,5,5,0,7399230,100.6
187,2020,09_Kyunggi,C053,5918,7092,215,94,140,1715,70867,17799,1221,36204932,780,172,8,28.8,24617.7,34.61,41.47,4603,1968,6571,3,27986995,109673802,137660797,20949.748,0,60.64,50.59,0.014,0.096,104.3,97.9,107.1,100.5,9927360846,28,7180431446,18,2746929400,10,718800825,7195232990,10352407.7,71369498802,16300125730,16032691560,6850166100,0,23150291830,3427134.2,4058.5,4707.5,8766,3.24,2446,1546,201,3,27,5,0,0,0,97.3
188,2020,09_Kyunggi,C054,4128,4774,75,8,21,1649,63209,7283,2447,35169640,74,674,33,30.6,22175.6,34.4,39.78,2186,362,2548,2,500000,115582206,116082206,45558.166,58457556,60.91,52.17,0.029,0.274,64.7,57.9,137.9,123.4,7801078280,8,3676302000,2,4124776280,6,417671009,7956570996,9872260.6,46172562734,10857459567,10617865280,4413972970,0,15271432537,3301931.4,2970,2680,5650,3.44,1576,1188,77,0,11,1,0,0,75389780,96.4
189,2020,09_Kyunggi,C055,5500,6045,272,110,184,2310,67768,13537,950,60261386,105,373,6,39,25541.5,33.74,37.09,4692,315,5007,2,23616032,0,23616032,4716.603,23616032,61.28,56.01,0.042,0.088,85.8,83.2,109.9,106.5,7823187245,27,6457023300,16,1366163945,11,744768432,8137481274,9889583.3,58872689218,13185356550,12885194810,5566451860,0,18751808410,3223067.8,4610,4060,8670,3.19,2398,1290,241,61,14,19,0,0,113136000,97.2
190,2020,09_Kyunggi,C056,2469,3104,0,0,0,1563,27971,9650,799,92522526,163,206,2,32.8,32270.7,30.86,38.8,2661,157,2818,1,600000,72434790,73034790,25917.243,73034790,64.52,51.28,0.017,0.187,2633.4,2094.7,156.4,124.4,4061160000,7,4043160000,6,18000000,1,498076533,4454279230,11462637.4,35213222003,7712721670,7608425110,2584475826,0,10297197496,3433543.7,1683.9,2841.1,4525,3.39,1020,596,114,9,32,7,2,0,19895806,98.1
191,2020,09_Kyunggi,C057,3356,3514,0,0,0,1508,41527,5368,805,50658971,220,592,4,35,30136.3,34.24,35.86,2885,297,3182,1,5580000,63842920,69422920,21817.385,69422920,62.82,60.87,0.02,0.039,271.2,286.8,142.1,150.2,4155013000,9,4120126000,7,34887000,2,74945485,4168961620,10347997.4,37904714657,9789106601,9670976440,3007535950,0,12796642551,3674028.9,2530,2441,4971,3.44,1498,973,155,11,8,8,0,0,0,90.8
192,2020,09_Kyunggi,C058,4813,4195,118,37,33,1645,55447,8741,1097,60031710,259,3457,9,24,20776.9,32.74,28.54,675,174,849,1,26981200,0,26981200,31779.976,26981200,62.03,71.01,0.241,0.08,341.3,383.3,144,161.7,8774726000,9,1413129000,5,7361597000,4,301409274,8440866151,11107428.8,56181375103,11095918637,10914501177,4746700005,0,15842618642,3288897.4,3404.3,2448.6,5852.9,3.34,2039,1639,196,0,18,8,16,0,20131690,80.7
193,2020,09_Kyunggi,C059,5319,7528,189,62,141,2663,91010,14428,817,79653470,334,1336,17,38,32783.3,27.7,39.21,1148,389,1537,5,61396059,17308980,78705039,51206.922,78705039,76.8,54.7,0.073,0.159,156.8,148.8,182.5,173.2,11814624012,27,7722098532,11,4092525480,16,237558414,12139374172,11087395.2,85483816860,22169528505,21999929735,8616719140,0,30786247645,4047094.5,5632.7,5185.3,10818,3.42,3299,1960,318,31,29,18,2,0,8397230,98.4
194,2020,09_Kyunggi,C060,1890,3101,0,0,0,1921,36448,7885,265,35292928,318,28,3,33.6,62720.1,21.48,35.24,945,68,1013,2,47878042,59999070,107877112,106492.707,47878042,92.63,56.41,0.162,0.159,475.5,289.8,186.5,113.7,513150000,15,332800000,6,180350000,9,470896566,920797485,11082475.6,34677066198,0,0,0,0,0,0,1673.5,3682.8,5356.3,3.34,1069,525,125,1,34,8,3,0,5386940,98.9
195,2020,09_Kyunggi,C061,3208,5412,103,63,64,2713,59052,8891,406,31865160,656,391,10,16.9,21672.2,22.43,37.85,1618,53,1671,2,16980060,4697000,21677060,12972.507,0,95.97,57.89,0.181,0.048,146.7,123.2,149,125.1,4691486533,45,2223884635,13,2467601898,32,871783271,4426341553,9830398.7,48247596605,14295948100,14200962030,5314488840,0,19610436940,4093182.4,4328,4871,9199,3.53,1899,1058,182,3,22,1,4,0,17572484,95.1
196,2020,09_Kyunggi,C062,5667,5981,103,61,65,1671,75900,18422,1057,61881460,744,333,11,34.3,23111.1,39.35,41.53,1699,234,1933,1,9687000,0,9687000,5011.381,0,54.14,51.43,0.096,0.096,160.8,156.6,128.1,124.7,683442727,10,655442727,9,28000000,1,1964927904,7421788339,8377870.3,52411956289,12729181343,12505020793,5392715510,0,18121896853,3075156.4,3695,2919,6614,3.27,2378,1485,121,4,14,8,0,0,8705390,96.2
197,2020,09_Kyunggi,C063,4210,4367,39,34,5,823,51765,7517,895,52312135,96,4035,5,39.2,30548.7,36.29,37.65,978,369,1347,2,35797123,0,35797123,26575.444,59443279,57.43,55.24,0.067,0.356,63.2,62.5,100.6,99.8,2289827240,22,435209000,6,1854618240,16,276079881,2380571856,10832068.8,46166277129,9470676864,9377358704,4347792133,0,13818468997,3306644.9,2410.2,2731.8,5142,3.28,1542,1115,90,74,10,5,0,0,27941882,94.8
198,2020,09_Kyunggi,C064,6155,6749,131,20,47,1534,77933,11291,258,11279970,393,122,2,27.7,27039.3,35.58,39.01,3571,289,3860,2,16950000,50654800,67604800,17514.197,66854800,60.28,54.57,0.085,0.111,61.3,61.1,118.1,117.7,6328668160,22,6102144460,13,226523700,9,1108943461,7150053199,9891485.8,65353046497,16281939240,15954958890,6270089706,0,22552028946,3482401,4108.8,3661.4,7770.2,3.41,2513,1752,237,34,19,24,0,0,16290530,95.3
199,2020,09_Kyunggi,C065,3885,4014,0,0,0,1442,53134,10552,215,4117668,119,673,5,30.9,22262.1,32.38,33.45,1978,47,2025,3,53134768,0,53134768,26239.392,53134768,65.22,63.16,0.07,0.048,494,487.4,135.6,133.8,1575224920,13,572824920,5,1002400000,8,404155936,2085107952,8961431.7,37136172838,9576805490,9360387030,3508451710,0,13085257200,3247768,3070,2134,5204,3.31,1782,1053,178,32,17,4,10,0,4287000,93.8
200,2020,09_Kyunggi,C067,4072,4503,0,0,0,1780,52470,11858,426,26662347,134,325,43,42,30611.5,34.22,37.84,720,137,857,3,0,74771550,74771550,87248.016,44771550,62.3,56.13,0.048,0.201,147.7,137.7,131.5,122.6,4007175150,9,3803979000,3,203196150,6,374308374,9048610906,11001941.4,48276518850,10888491260,10567060050,3766259174,0,14654750434,3412049,3300.4,2892.8,6193.2,3.38,1541,1072,93,1,8,8,10,0,40722920,96.3
201,2020,09_Kyunggi,C068,5245,5357,0,0,0,2968,67284,13847,744,11700000,170,5482,11,34.8,21655.6,32.38,33.07,1605,404,2009,1,25848000,304000000,329848000,164185.167,329848000,63.04,61.83,0.055,0.085,225.8,244,104.8,113.2,1991275179,15,413423749,5,1577851430,10,265229138,2296529174,9857202.3,55298905047,12248071187,12009884936,4908163760,0,17156234947,3161274.2,4455.4,3929.6,8385,3.2,2080,1322,269,11,17,5,2,0,25374580,88.9
202,2020,09_Kyunggi,C069,5710,6030,270,127,72,2000,69375,11133,2130,177718861,603,1672,59,33.9,31021.2,36.84,38.9,3328,291,3619,1,4500000,34125590,38625590,10673.001,34125590,58.94,55.76,0.004,0.071,101.6,103.6,141.5,144.3,9029285518,22,7447431169,8,1581854349,14,375699201,9307959071,10204109.2,60959348232,15323170023,15022756873,5800000000,0,21123170023,3626295.3,4472.3,3186.8,7659.1,3.29,2341,1446,196,26,17,1,0,0,2548120,93.7
203,2020,09_Kyunggi,C070,4590,5158,360,127,119,1787,50831,8728,1555,227643295,695,360,2,32.1,28241.7,35.31,39.68,2237,580,2817,3,42430890,19000000,61430890,21807.203,61430890,60.75,54.39,0.037,0.211,171.6,168.5,112.9,110.9,8413164878,89,6355194878,72,2057970000,17,620346043,9851170317,10437923.5,50582177276,9456023310,9382220310,3992218390,0,13448241700,2857072.8,2438,3909.4,6347.4,3.07,1938,1305,283,59,15,26,0,0,17593970,96.9
204,2020,09_Kyunggi,C071,3836,3890,71,8,58,1782,44318,10760,734,44517860,365,156,9,41,33603.1,35.19,35.69,2415,640,3055,1,53544980,112426180,165971160,54327.712,165971160,60.56,59.24,0.097,0.137,111.7,110.8,118.4,117.5,3624188000,20,3401528000,10,222660000,10,966889575,4452438563,10103283.5,39463425455,8638701410,8515177160,3195225795,0,11833927205,3148996.1,2982.5,2534.5,5517,3.32,1546,872,143,13,8,10,25,0,42640790,93.4
205,2020,09_Kyunggi,C072,1797,1103,0,0,0,124,10339,4326,0,0,39,0,0,6.8,0,41.79,25.65,0,0,0,0,0,0,0,0,0,59.72,95.56,0,0,127.6,207.8,195.5,318.5,0,0,0,0,0,0,243224458,243272028,6173780,7964176189,717026042,667039640,1043272400,0,1760298442,1448805.3,866,225,1091,3.39,419,194,25,0,3,0,0,1,14470860,60.2
206,2020,09_Kyunggi,C073,4540,4757,454,67,221,1901,54221,9024,1256,186066767,556,94,4,46.2,30594.6,34.39,36.04,5823,660,6483,2,0,62857512,62857512,9695.745,62857512,61.4,58.15,0.041,0.197,36.8,36.5,131.9,131.1,7389291576,16,7270755213,12,118536363,4,455179563,6118941636,9675278,47631393355,12513054348,12276926508,3815670710,0,16328725058,3398985.2,2674.5,2517.6,5192.1,3.21,2127,1354,128,82,16,19,0,0,25375000,97.1
207,2020,09_Kyunggi,C074,5514,5535,1592,1,18,2336,68868,10801,309,17048026,211,517,3,33.6,34451.7,36.76,36.9,1642,361,2003,4,63493500,63493500,126987000,63398.402,0,60.98,60.98,0.057,0.37,183.4,193.5,239.4,252.6,2932681617,26,768891000,11,2163790617,15,198557754,2890978800,9213788.2,51799917187,12432164940,12361769860,6236035235,0,18668200175,3430393.3,3840,4548,8388,3.3,2248,1402,296,60,28,0,0,0,5483990,92
208,2020,09_Kyunggi,C075,3500,3842,23,1,1,1725,34754,6774,1315,83660686,125,143,2,56.2,29339.3,32.71,35.91,3682,208,3890,2,0,0,0,0,80069082,61.49,55.73,0.179,0.059,201.7,185.1,129.5,118.8,6321312320,21,5253702320,14,1067610000,7,899528757,5244711756,10461610.5,39032268854,9124954875,9009496285,3952327310,0,13077282185,3574004.4,2638,3242,5880,3.34,1218,727,135,116,6,8,5,0,18891070,98.4
209,2020,09_Kyunggi,C076,1860,1973,43,10,3,944,15985,6172,0,0,65,773,4,45.6,48409.1,37.2,39.46,973,170,1143,2,150000,13958000,14108000,12342.957,14108000,63.29,58.82,0.081,0.067,556.9,551.5,228.5,226.3,2569795000,4,2538600000,3,31195000,1,7540700,2603915060,11324913.3,21256862331,5114712014,5027482074,2085786784,0,7200498798,3917572.8,1654,1247.5,2901.5,3.29,867,541,54,0,5,1,0,0,3373000,95.2
210,2020,09_Kyunggi,C077,633,667,172,3,77,613,6806,1123,0,0,22,56,2,71.8,107803.6,11.51,12.13,262,81,343,5,0,330067740,330067740,962296.618,330067740,177.42,171.88,0.043,0.181,1166.2,1237.2,614.2,651.6,3336107950,10,3295020360,7,41087590,3,1249855546,2024651257,0,0,1667167965,1543691585,354913370,0,2022081335,3022543.1,1090,716,1806,3.64,257,126,36,1,4,0,0,0,38950,90.4
211,2020,10_Gangwon,C078,2675,2663,0,0,0,827,36857,5823,162,5229950,149,279,5,32.5,22430.2,33.02,32.88,261,102,363,1,24075000,14474230,38549230,106196.226,53023460,63.28,62.31,0.187,0.059,174.5,167.6,164.3,157.8,1759350000,9,1506450000,2,252900000,7,35233229,1466730641,9479969.2,26496514005,7629638554,7417449464,2401804730,0,10031443284,3704373.4,1704.4,1400.6,3105,3.33,959,663,86,0,15,0,0,0,7246700,81.1
212,2020,10_Gangwon,C079,1119,1012,0,0,0,370,16917,2301,0,0,0,82,2,39.7,27184.1,48.65,44,0,0,0,0,0,0,0,0,0,44.23,48.94,0.026,0.054,655.7,1852.7,204.2,288.5,812000000,7,100000000,1,712000000,6,0,0,8276439,9824133040,3533113514,3185822974,765285810,0,4298399324,3754060.5,654,728.5,1382.5,3.51,480,310,40,0,14,0,0,0,0,72.5
213,2020,10_Gangwon,C080,657,635,42,8,18,367,7323,986,142,9758030,23,1083,19,81.8,51101,21.9,21.17,221,210,431,2,88300000,43000000,131300000,304640.371,9000000,93.75,100,0,0.189,1857.1,2064.4,351,390.2,3930572970,28,2533910050,11,1396662920,17,326305236,3983002983,0,0,925052530,885339870,443681810,0,1368734340,2376274.9,368,608,976,3.22,238,174,71,0,6,0,9,1,4839510,95.9
216,2020,10_Gangwon,C083,966,1040,34,2,4,345,13168,2957,142,5844720,103,541,14,42.9,21661.6,33.31,35.86,1589,101,1690,1,4000000,4589000,8589000,5082.249,0,67.44,63.04,0,0.198,838.6,918.2,307.2,336.3,451395985,9,210613835,2,240782150,7,30640290,275137166,9407353.6,9849499170,3582702170,2942223170,655450000,0,4238152170,4196190.3,803.8,543.4,1347.2,3.58,462,215,64,0,11,0,4,1,6827640,93.8
217,2020,10_Gangwon,C084,575,635,0,0,0,323,8570,2744,91,12512200,50,0,0,20.3,29132.2,25,27.61,412,75,487,2,0,2185330,2185330,4487.331,0,79.31,71.88,0.336,0.096,1564.2,1368.2,205.6,179.8,975000000,3,815000000,1,160000000,2,0,1973213,12668047.7,8348243404,1888479500,1857497920,447575580,0,2336055080,3678826.9,474.7,481.3,956,3.24,198,128,25,0,3,0,0,0,18152500,89.4
218,2020,10_Gangwon,C085,885,946,0,0,0,499,11465,1700,182,3436702,28,179,4,44.6,20854.2,29.5,31.53,996,41,1037,0,0,0,0,0,0,68.18,63.83,0.057,0.126,1853.1,1957.2,236,249.3,189688000,6,0,0,189688000,6,32622800,239522868,10323491.3,10044757019,2660017190,2539252050,883393153,0,3543410343,3781654.6,687,808,1495,3.42,362,196,32,0,9,0,0,0,2322000,85.4
219,2020,10_Gangwon,C086,480,441,0,0,0,175,4704,1146,0,0,14,140,2,33.4,10392.7,32,29.4,92,10,102,1,1231500,0,1231500,12073.529,0,62.5,65.22,0,0.586,873.2,950.5,242.2,263.6,200450000,5,90450000,2,110000000,3,83674651,163537300,11595813.4,4986199782,1058911000,995961000,920282000,0,1979193000,5074853.8,320,313,633,3.52,140,75,16,0,8,0,1,0,18679239,84.2
220,2020,10_Gangwon,C087,2609,2974,252,55,125,740,37949,5992,0,0,153,1385,30,49.2,29574.4,33.03,37.65,1901,18,1919,4,2403950,156000000,158403950,82545.05,158403950,63.71,55.63,0.081,0.163,234.6,229.3,124.9,122,5867909150,19,5331564150,6,536345000,13,86449788,2664380608,10342864.2,32311107783,8610641630,8374756880,2762563000,0,11373204630,3713093.3,2085,1543,3628,3.43,1206,778,209,0,9,0,0,0,0,91.4
221,2020,11_Chungbuk,C088,3874,3534,252,92,82,1311,43622,6177,357,21723738,320,881,28,35.2,27849.8,36.55,33.34,1696,126,1822,2,0,262116158,262116158,143861.777,12043870,57.3,62.35,0.051,0.149,163.8,177.3,121.9,131.9,7064376830,24,6776576830,12,287800000,12,120154870,7595459043,10485568.9,39457195757,9594676687,9516651107,3162044730,0,12756721417,3498826.5,2517.4,1919.2,4436.6,3.3,1464,939,130,12,36,17,0,0,0,84.1
222,2020,11_Chungbuk,C089,2535,2412,0,0,0,977,32442,4551,694,50611640,218,735,38,35.1,30572.9,32.92,31.32,1250,0,1250,3,0,0,0,0,0,62.6,66.38,0.084,0.14,513.7,503.7,199.4,195.5,4455504000,9,4410864000,8,44640000,1,564381579,5964047178,12021769.8,29922185155,6836488618,6581982268,2677818320,0,9514306938,3877060.7,1802.7,1549.3,3352,3.25,975,634,103,0,9,1,0,0,22531310,85.8
223,2020,11_Chungbuk,C090,880,837,0,0,0,317,10350,1841,0,0,137,0,0,81.4,57650.8,29.33,27.9,84,181,265,1,24625000,119135060,143760060,542490.792,0,69.77,71.43,0,0.019,465.3,496.7,287.4,307.1,1014975000,20,802275000,11,212700000,9,71302983,2728785280,0,0,1228237690,1192374570,461344910,0,1689582600,1933160.9,579,635,1214,3.32,422,236,73,3,6,0,0,0,6899610,94.3
224,2020,11_Chungbuk,C091,2648,2631,200,63,159,755,38418,3063,175,34466707,82,1209,20,45.1,14302.9,31.52,31.32,2058,64,2122,3,0,20742130,20742130,9774.802,20742130,64.12,65.12,0.013,0.105,439,474.7,120,129.8,5212866000,10,5141766000,7,71100000,3,824774343,6033077915,10670700.9,29205708260,6496791550,6360779150,2308147516,0,8804939066,3311372.3,2067.2,1495.8,3563,3.33,1003,755,123,0,17,0,0,2,18638630,86.6
225,2020,11_Chungbuk,C092,3776,3888,21,0,2,1541,52235,9416,814,105326720,478,457,22,37.6,36446.5,33.42,34.41,545,304,849,1,0,122162815,122162815,143890.241,122162815,62.09,60.43,0.029,0.068,187.5,190.8,170.4,173.3,5873389220,18,5548765220,8,324624000,10,618079821,3048340365,10568930.7,44886248488,10928639316,10805461840,3609749360,0,14538388676,3527023,2897,3553,6450,3.51,1684,1249,219,7,24,4,17,2,55447000,89
226,2020,12_Chungnam,C093,5407,5754,355,138,176,2982,66306,17981,470,43221740,570,618,4,34.7,22873.5,29.23,31.1,4246,455,4701,2,10286220,70754880,81041100,17239.119,81041100,72.83,68.52,0.075,0.225,189,183.4,129.6,125.8,7490387000,20,6542796000,13,947591000,7,204209395,7490809204,10327352.9,58649037115,14036741410,13858345740,5286557930,0,19323299340,3506950.9,4433,3591,8024,3.45,2009,1138,326,0,15,5,19,0,41103040,95.2
227,2020,12_Chungnam,C094,3643,3678,220,68,90,1263,47746,6340,436,125067803,437,825,27,47.3,44024.1,30.87,31.17,807,158,965,2,0,75073989,75073989,77796.88,75073989,66.67,65.19,0.076,0.159,361.5,380.9,163.9,172.7,5230735000,13,5055078000,7,175657000,6,720442478,5846955521,10806326.2,42371605186,10069664340,9740704550,3558592780,0,13628257120,3563874.8,3119,2432,5551,3.43,1519,1056,108,2,13,1,7,0,323470,82.8
228,2020,12_Chungnam,C095,988,910,0,0,0,443,8565,1444,750,106797859,461,25,3,38.7,30472,38,35,499,179,678,2,0,363585190,363585190,536261.342,230385541,52,56.52,0.039,0.154,2801.5,3041.6,206.6,224.4,3225043000,9,2860043000,5,365000000,4,145408434,3817406149,12691637.6,12234738694,2004257823,1976988193,949161290,0,2953419113,3089350.5,748,489,1237,3.36,504,231,17,0,5,5,21,3,55487940,86
229,2020,12_Chungnam,C096,966,1105,0,0,0,345,10600,2814,0,0,324,435,4,53.8,29701.5,30.19,34.53,923,948,1871,1,0,0,0,0,26594550,65.31,57.14,0.127,0.082,4753.8,2209.8,381.6,354.8,6337617758,27,6223617758,25,114000000,2,362433186,6606744720,27464152.8,28754968007,3054715860,2790729540,873426940,0,3928142800,3802655.2,832,637,1469,3.05,474,284,71,0,3,5,0,0,5513520,98.3
230,2020,12_Chungnam,C097,942,988,971,3,125,579,6871,8640,282,35419300,83,526,3,61.4,40071.1,29.44,30.88,162,175,337,3,0,0,0,0,8827930,69.57,68.09,0.025,0.14,540.7,1262.8,319.4,373,3290478600,20,2563137000,7,727341600,13,202221866,3316290991,0,0,1575517180,1399690420,780281190,0,2355798370,2300584.3,587,1329,1916,3.18,512,297,40,15,5,0,6,0,8648750,97
231,2020,12_Chungnam,C098,2838,2635,51,0,2,1009,36910,6245,0,0,269,313,5,59.7,26576.7,36.38,33.78,1387,177,1564,3,400000,2273000,2673000,1709.079,0,56.12,60,0,0.081,177,199.4,118.7,133.8,3938500000,12,3367500000,4,571000000,8,215151055,1499786775,10881440.5,30805357992,7200795870,6983428890,2460355670,0,9661151540,3514424,1711,1929,3640,3.19,1047,788,95,0,7,1,0,0,5052000,79.3
232,2020,13_Kyungbuk,C099,1734,1821,127,23,40,594,25239,3417,132,18493080,42,175,5,59.5,33806,33.35,35.02,449,179,628,0,1500000,45208825,46708825,74377.11,0,62.65,59.77,0.055,0.123,214,231,192.7,208.1,5500176238,33,4891745450,9,608430788,24,699899186,1956973235,11766668.9,22180170936,4977404404,4904006844,2105723940,0,7083128344,3893968.3,1275.2,1266.9,2542.1,3.44,605,510,36,0,6,0,0,0,22507580,83
233,2020,13_Kyungbuk,C100,1719,1655,0,0,0,603,22523,4991,48,362000,0,192,2,60.8,13823,33.06,31.83,614,92,706,3,2834000,0,2834000,4014.164,0,63.41,65,0.042,0.144,848.3,914,0,0,191350000,5,88870000,3,102480000,2,65843161,301513883,18103393.3,25797335389,3663921420,3649771420,1872103983,0,5536025403,3977029.7,1137.5,857.3,1994.8,3.4,522,341,71,0,24,0,0,0,10032760,82.7
234,2020,13_Kyungbuk,C101,910,856,0,0,0,569,11989,2234,194,31356550,53,292,4,68.6,57647.9,32.5,30.57,227,236,463,4,8482000,5000000,13482000,29118.79,8482000,63.64,66.67,0,0.045,1001.6,1168.5,283.5,330.8,2942456190,24,1866785000,6,1075671190,18,442861640,4381970803,0,0,992891250,945937740,568460280,0,1561351530,1878882.7,490,930,1420,3.4,307,197,65,0,8,0,0,3,0,87.7
235,2020,13_Kyungbuk,C102,1177,1250,100,63,53,416,18601,3144,396,40568390,50,639,21,36.1,34703.2,29.43,31.25,391,66,457,1,0,5084200,5084200,11125.164,5084200,66.67,63.49,0.006,0.202,157,151.2,145.8,140.4,1867900000,1,1867900000,1,0,0,10020817,542712598,10576491.3,13728285711,3297455871,3264693060,1206408740,0,4503864611,3518644.2,938.7,637.3,1576,3.45,371,319,8,0,1,0,0,0,84079,94.2
